name,city,area,address,sports,courts,price,hours,description,amenities,images,maps_link
H3 Sports Academy,Ahmedabad,Ahmedabad,"Nr. H3, World School, Tragad Gam Rd, opp. DUTT PARISAR, Tragad, Ahmedabad, Gujarat 382470","Badminton, Cricket",,,,"Welcome to our sports facility, a space designed to bring players together and create an enjoyable, high-quality sporting experience. We provide a well-maintained environment suitable for casual play and friendly matches. Whether you're visiting to stay active, improve your skills, or simply have a good time with friends, our facility is built to offer a smooth, comfortable, and engaging experience for everyone.","Washrooms available, Parking, Seating lounge, Equipments (For rent)",,https://maps.app.goo.gl/CcaHQsMN6eWtqdHh9
Lakshya Sports Academy,Ahmedabad,Jagatpur,"Road, opp. Aakruti Elegance, nr. Godrej Garden City Road, Tragad, New Chamunda Society, Godrej Garden City, Jagatpur, Ahmedabad, Gujarat 382470","Cricket, Pickleball, Badminton, Tennis",,,6 AM - 12 AM,"Lakshya Sports Academy in Ahmedabad offers premier facilities for SP83 and badminton enthusiasts. Known for its clean courts and flexible timings, the academy provides expert coaching and personalized feedback. With a focus on tennis and pickleball lessons, it fosters a supportive environment, making it a top choice for athletes seeking skill development and competitive play.","Parking, Washrooms available, Sitting Area",,https://maps.app.goo.gl/6L6DnLaaskS8eRX99
Aqua Spin & Smash,Ahmedabad,Thaltej,"TAKSHASHILA APARTMENT, Thaltej, Ahmedabad, Gujarat 380059
",Pickleball,,,,"Welcome to our sports facility, a space designed to bring players together and create an enjoyable, high-quality sporting experience. We provide a well-maintained environment suitable for casual play and friendly matches. Whether you're visiting to stay active, improve your skills, or simply have a good time with friends, our facility is built to offer a smooth, comfortable, and engaging experience for everyone.","Parking, 
Washrooms available, 
Seating lounge, 
Flood lights, 
Equipments (Free)",,https://maps.app.goo.gl/JadQ1SKQrakLT4Bn6
Crick Buddy Box Cricket,Ahmedabad,Thaltej,"Service Rd, inside karnavati food mall, opposite palladium mall, intas, Thaltej, Ahmedabad, Gujarat 380059","Cricket, Pickleball",,,,"Crick Buddy Box Cricket in Ahmedabad is a premier sports venue specializing in Pickleball and SP83. Renowned for its vibrant atmosphere, the facility features well-maintained turf and excellent lighting, making it ideal for both casual and competitive play. The on-site food court enhances the experience, ensuring visitors enjoy a complete sporting outing.","Washrooms available, 
Seating lounge, 
Parking, 
Cafeteria, 
Flood lights",,https://maps.app.goo.gl/kMsQyGs3Mz3EPuzi6
Go Dash,Ahmedabad,Mumatpura,"VIP Rd, opposite LDR School, Shela, Ahmedabad, Gujarat 380057
","Pickleball, Swimming, Badminton, Cricket",,,,"Go Dash is a premier sports venue located in Shela, Ahmedabad, offering a diverse range of activities including SP83, Pickleball, Football, Volleyball, and Swimming. Known for its exceptional pickleball courts and vibrant ambience, the venue is praised for its courteous staff and convenient location, making it a popular choice for sports enthusiasts of all ages.","Cafeteria, 
Parking, 
Shower, 
Washrooms available",,https://maps.app.goo.gl/oHumb1Tz5hBLzMpd9
AP Pickleball Club,Gandhinagar,Infocity,"AP Pickleball Club, InfoCity Club, near Indroda Circle, Infocity, Gandhinagar, Gujarat 382007
","Pickleball, Swimming, Badminton",,,,"AP Pickleball Club in Gandhinagar is a premier destination for pickleball enthusiasts, featuring six high-quality courts and spacious seating areas for relaxation. Known for its vibrant community, the club fosters camaraderie and support among players. With flexible playing times and a user-friendly booking system, it seamlessly accommodates busy lifestyles while promoting fitness and fun.","Cafeteria, 
Parking, 
Washroom available",,https://maps.app.goo.gl/KMTrz3oMBws4QFyN6
Drona Sports Academy,Gandhinagar,Koba Circle,"Drona Sports Academy, Ahmedabad, Gujarat 382426","Cricket, Badminton, Pickleball",,,,"Drona Sports Academy offers a premium Sand Volleyball experience at an affordable price, with facilities including Artificial Turf, Drinking Water, Flood lights and more. Conveniently located at Koba Circle, Nabhoi Road Ahmedabad 382007, Nabhoi road, Koba Circle, Ahmedabad - 382007, it's perfect for individuals and groups looking to enjoy a sporting session in a well-maintained environment. Book your spot now to enjoy an exceptional sports experience.","Parking, 
Washrooms available, 
Night Lights, 
Water",,https://maps.app.goo.gl/A6i9LBt45YHXBe2z5
ANC Sports Arena,Gandhinagar,PDPU Road,"5M54+654, PDPU Rd, opp. Shahi Fry Center, Raysan, Gandhinagar, Gujarat 382426",Cricket,,,,"ANC Sports Arena, located in Raysan, Gandhinagar, is a premier sports venue offering top-notch facilities for Pickleball, Football, and SP83. Known for its vibrant atmosphere and well-maintained courts, the arena caters to athletes of all skill levels. Its strategic location and commitment to promoting sports make it a standout destination for local sports enthusiasts.","Parking, 
Washrooms available",,https://maps.app.goo.gl/2tVTSKiu6fi218CXA
Power Play Cricket Turf,Gandhinagar,Koba-Adalaj Highway,"Near Ambapur Petrol Pump, Koba-Adalaj Highway To Ambapur, Dist, Gandhinagar, Gujarat 382421
","Cricket, Pickleball",,,,"Welcome to our sports facility, a space designed to bring players together and create an enjoyable, high-quality sporting experience. We provide a well-maintained environment suitable for casual play and friendly matches. Whether you're visiting to stay active, improve your skills, or simply have a good time with friends, our facility is built to offer a smooth, comfortable, and engaging experience for everyone.","Flood lights, 
Washrooms available, 
Parking, 
Seating lounge, 
Shop",,https://maps.app.goo.gl/tFAVEkwvYgomBJ6i7
,,,,,,,,,,,
SMC Sports Complex,Surat,Anand Nagar,"11, Ashwini Kumar Road, Vishal Nagar, Anand Nagar, Surat, Gujarat 395008","Cricket, Badminton, Table Tennis, Snooker",,,,"The Surat Municipal Corporation Sports Complex is a large sports facility located in the heart of Surat. It offers various sports activities and is particularly praised for its badminton courts. However, some reviews highlight concerns regarding cleanliness and maintenance, suggesting that the facility could improve its upkeep and staff responsiveness.
",Parking,,https://maps.app.goo.gl/r7rpCTz3FMrq6W656
Khelghar Sports Arena,Surat,Vesu,"2, beside empire regency, next to Maruti suzuki work Kataria shop, Vesu, Surat, Gujarat 395007","Badminton, Table Tennis, Cricket",,,,"Khelghar Sports Arena offers a premium Box Cricket, Badminton, Table Tennis experience at an affordable price, with facilities including Artificial Turf, Changing room, Drinking Water and more","Artificial Turf, Changing room, Drinking Water",,https://maps.app.goo.gl/z5hd56t7ZT6YzN2U8
Korner’s Cafe & Turf,Surat,Bhatha,"Between D, Villa and Vishala restaurant pal, Bhata - Bhatpor Rd, next to Hyundai showroom, Bhatha, Surat, Gujarat 394510","Cricket, Badminton, Pickleball",,,,,"Cafe, 
Drinking Water, 
First Aid, 
Flood lights, 
Food court, 
Open 24x7, 
Parking, 
Power Backup, 
Restroom, 
Walking Track, 
Washroom available",,https://maps.app.goo.gl/qu3RVniL9Es4AQSV9
